,net_worth_billions,age,clusters
265,1.4,76.0,3
266,1.4,62.0,0
267,1.4,55.0,0
268,1.4,59.0,0
269,1.4,44.0,1
270,1.4,58.0,0
271,1.4,64.0,0
272,1.4,64.0,0
273,1.4,62.0,0
274,1.4,63.0,0
275,1.3,51.0,1
276,1.3,37.0,1
277,1.3,57.0,0
278,1.3,61.0,0
279,1.3,59.0,0
280,1.3,68.0,0
281,1.3,46.0,1
282,1.3,65.0,0
283,1.3,55.0,0
284,1.3,0.0,1
285,1.3,54.0,0
286,1.3,76.0,3
287,1.3,51.0,1
288,1.3,56.0,0
289,1.3,76.0,3
290,1.2,56.0,0
291,1.2,62.0,0
292,1.2,72.0,3
293,1.2,56.0,0
294,1.2,78.0,3
295,1.2,75.0,3
296,1.2,69.0,0
297,1.2,68.0,0
298,1.2,51.0,1
299,1.2,0.0,1
300,1.2,66.0,0
301,1.2,29.0,1
302,1.2,37.0,1
303,1.2,33.0,1
304,1.2,64.0,0
305,1.1,58.0,0
306,1.1,69.0,0
307,1.1,74.0,3
308,1.1,56.0,0
309,1.1,53.0,1
310,1.1,58.0,0
311,1.1,33.0,1
312,1.1,72.0,3
313,1.1,60.0,0
314,1.1,52.0,1
315,1.1,64.0,0
316,1.1,78.0,3
317,1.1,60.0,0
318,1.1,64.0,0
319,1.1,70.0,0
320,1.1,0.0,1
321,1.1,46.0,1
322,1.1,84.0,3
323,1.1,58.0,0
324,1.1,55.0,0
325,1.0,67.0,0
326,1.0,64.0,0
327,1.0,64.0,0
328,1.0,41.0,1
329,1.0,63.0,0
330,1.0,37.0,1
331,1.0,59.0,0
332,1.0,42.0,1
333,1.0,50.0,1
334,1.0,66.0,0
335,1.0,35.0,1
336,1.0,75.0,3
337,1.0,36.0,1
338,1.0,51.0,1
339,1.0,58.0,0
340,1.0,46.0,1
341,1.0,48.0,1
342,1.0,50.0,1
343,1.0,55.0,0
344,1.0,63.0,0
345,1.0,47.0,1
346,1.0,73.0,3
347,1.0,69.0,0
348,1.0,71.0,3
349,1.0,65.0,0
350,1.0,67.0,0
351,1.0,72.0,3
352,1.0,78.0,3
353,1.0,32.0,1
354,52.8,46.0,2
355,35.0,71.0,4
356,25.2,49.0,4
357,23.5,57.0,4
358,20.8,54.0,4
359,20.5,53.0,4
360,20.5,58.0,4
361,20.0,45.0,4
362,18.4,74.0,4
363,14.9,79.0,4
364,14.8,45.0,1
365,13.4,75.0,4
366,11.5,62.0,0
367,11.1,37.0,1
368,10.7,49.0,1
369,10.1,82.0,3
370,10.0,73.0,3
371,9.2,0.0,1
372,9.1,66.0,0
373,9.0,70.0,3
374,9.0,63.0,0
375,9.0,65.0,0
376,8.6,40.0,1
377,8.4,36.0,1
378,8.1,78.0,3
379,7.7,75.0,3
380,7.2,65.0,0
381,7.0,53.0,1
382,6.9,71.0,3
383,6.7,50.0,1
384,6.6,66.0,0
385,6.5,58.0,0
386,6.4,56.0,0
387,6.2,49.0,1
388,6.1,73.0,3
389,5.8,84.0,3
390,5.7,58.0,0
391,5.7,64.0,0
392,5.7,71.0,3
393,5.6,75.0,3
394,5.6,54.0,0
395,5.2,68.0,0
396,5.2,74.0,3
397,5.1,62.0,0
398,5.0,56.0,0
399,5.0,91.0,3
400,5.0,66.0,0
401,5.0,72.0,3
402,5.0,74.0,3
403,5.0,51.0,1
404,4.9,66.0,0
405,4.9,77.0,3
406,4.8,59.0,0
407,4.8,71.0,3
408,4.6,34.0,1
409,4.4,59.0,0
410,4.4,36.0,1
411,4.4,58.0,0
412,4.3,47.0,1
413,4.3,47.0,1
414,4.3,71.0,3
415,4.3,61.0,0
416,4.3,0.0,1
417,4.2,61.0,0
418,4.1,0.0,1
419,4.1,79.0,3
420,4.1,64.0,0
421,4.0,69.0,0
422,4.0,59.0,0
423,4.0,48.0,1
424,4.0,58.0,0
425,3.9,71.0,3
426,3.8,69.0,0
427,3.8,64.0,0
428,3.8,63.0,0
429,3.7,76.0,3
430,3.6,52.0,1
431,3.6,73.0,3
432,3.4,76.0,3
433,3.4,78.0,3
434,3.4,55.0,0
435,3.4,65.0,0
436,3.4,39.0,1
437,3.3,44.0,1
438,3.3,56.0,0
439,3.1,59.0,0
440,3.1,61.0,0
441,3.1,66.0,0
442,3.1,61.0,0
443,3.1,65.0,0
444,3.1,54.0,0
445,3.1,66.0,0
446,3.0,35.0,1
447,3.0,49.0,1
448,3.0,76.0,3
449,3.0,73.0,3
450,3.0,71.0,3
451,3.0,83.0,3
452,3.0,57.0,0
453,3.0,72.0,3
454,3.0,49.0,1
455,3.0,79.0,3
456,2.9,62.0,0
457,2.9,77.0,3
458,2.9,68.0,0
459,2.8,81.0,3
460,2.8,52.0,1
461,2.8,50.0,1
462,2.8,74.0,3
463,2.8,61.0,0
464,2.6,62.0,0
465,2.6,71.0,3
466,2.6,61.0,0
467,2.6,64.0,0
468,2.5,54.0,0
469,2.5,70.0,0
470,2.5,0.0,1
471,2.5,60.0,0
472,2.5,86.0,3
